Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
4000,12,3,-7.98558217,27.2283926278865,35.2139747978865,12.01055423139,0,12.01055423139,0,4.39821255814267,4.3968885863441
4000,12,3,-6.98558217,28.2226810724055,35.2082632424055,12.11242452342,0,12.11242452342,0,5.48323707276151,5.48158430931501
4000,12,3,-5.98558217,29.1529474527156,35.1385296227156,12.25346369673,0,12.25346369673,0,6.71484321597581,6.71278645930496
4000,12,3,-4.98558217,30.0753736764705,35.0609558464705,12.51205751496,0,12.51205751496,0,8.13221094706173,8.12967515842755
4000,12,3,-3.98558217,31.05267622774,35.03825839774,12.88035780153,0,12.88035780153,0,9.89326621144066,9.89016512511754
4000,12,3,-2.98558217,31.9372129709041,34.9227951409041,13.37403690906,0,13.37403690906,0,11.6804286180045,11.6766686922812
4000,12,3,-1.98558217,32.7133064538753,34.6988886238753,13.90688489787,0,13.90688489787,0,13.4307660810447,13.4262139796946
4000,12,3,-0.985582170000001,33.46980097597,34.45538314597,14.51810665005,0,14.51810665005,0,15.3133466987465,15.3078572112453
4000,12,3,0.0144178299999991,34.0721216470515,34.0577038170515,15.14500075485,0,15.14500075485,0,16.8633116161994,16.8566868205918
4000,12,3,1.01441783,34.4993648797786,33.4849470497786,15.70135727259,0,15.70135727259,0,17.9473070192951,17.9392624168387
4000,12,3,2.01441783,34.7502231866633,32.7358053566633,16.00696814868,0,16.00696814868,0,18.6514773804633,18.641543184968
4000,12,3,3.01441783,34.8560543329036,31.8416365029036,16.16369167488,0,16.16369167488,0,18.9262632140835,18.9138780653789
4000,12,3,4.01441783,34.8756523401057,30.8612345101057,16.19503638012,0,16.19503638012,0,18.9750664771463,18.9595046762291
4000,12,3,5.01441783,34.7567558557307,29.7423380257307,15.92860638558,0,15.92860638558,0,18.7714493135272,18.7515304753887
4000,12,3,6.01441783,34.5869045526301,28.5724867226301,15.60732315687,0,15.60732315687,0,18.4230712846399,18.397478746436
4000,12,3,7.01441783,34.4275045663631,27.4130867363631,15.2625433995,0,15.2625433995,0,18.1603220016491,18.1273750778754
4000,12,3,8.01441783,34.2576523095882,26.2432344795882,14.97260487603,0,14.97260487603,0,17.8019618977665,17.7596809786859
4000,12,3,9.01441783,34.1230774194514,25.1086595894514,14.74535576304,0,14.74535576304,0,17.5247764474992,17.4707275888092
5000,12,3,-31.1147133,2.25221587563338,33.3669291756334,11.52471130017,0,11.52471130017,0,0.0145744284555426,0.0145677157342634
5000,12,3,-30.1147133,3.41457320595564,33.5292865059556,11.52471130017,0,11.52471130017,0,0.0190470299940304,0.0190385791786296
5000,12,3,-29.1147133,4.1793818607408,33.2940951607408,11.52471130017,0,11.52471130017,0,0.0227147588845463,0.022704119938288
5000,12,3,-28.1147133,5.38925124550642,33.5039645455064,11.53254747648,0,11.53254747648,0,0.0299916164464053,0.0299782319073638
5000,12,3,-27.1147133,6.33911467934431,33.4538279793443,11.53254747648,0,11.53254747648,0,0.0373238312124261,0.0373069810761017
5000,12,3,-26.1147133,7.38910628701033,33.5038195870103,11.53254747648,0,11.53254747648,0,0.0475319221932952,0.0475107091284842
5000,12,3,-25.1147133,8.49053145790877,33.6052447579088,11.53254747648,0,11.53254747648,0,0.0612530748286725,0.0612263691623199
5000,12,3,-24.1147133,9.48268462563338,33.5973979256334,11.53254747648,0,11.53254747648,0,0.0769738503897023,0.0769402299476921
5000,12,3,-23.1147133,10.4791064395982,33.5938197395982,11.54038365279,0,11.54038365279,0,0.096758782942461,0.0967164860536988
5000,12,3,-22.1147133,11.3505797519761,33.4652930519761,11.54038365279,0,11.54038365279,0,0.11825996014241,0.118206711514307
5000,12,3,-21.1147133,12.4877581729967,33.6024714729967,11.548218629073,0,11.548218629073,0,0.153553888961433,0.153486898391488
5000,12,3,-20.1147133,13.4702868595201,33.5850001595201,11.548218629073,0,11.548218629073,0,0.192536773041793,0.192452436910938
5000,12,3,-19.1147133,14.4319110050279,33.5466243050279,11.55605600541,0,11.55605600541,0,0.240094085951827,0.239987985060564
5000,12,3,-18.1147133,15.4614749088365,33.5761882088365,11.563890981693,0,11.563890981693,0,0.304118963860168,0.303985481252808
5000,12,3,-17.1147133,16.4727473392564,33.5874606392564,11.571727158003,0,11.571727158003,0,0.383598189534823,0.383430258685354
5000,12,3,-16.1147133,17.419999612816,33.534712912816,11.587399510623,0,11.587399510623,0,0.476446323919008,0.47623519744768
5000,12,3,-15.1147133,18.4351916446763,33.5499049446763,11.603071863243,0,11.603071863243,0,0.601099244924726,0.600833811452683
5000,12,3,-14.1147133,19.4190268650133,33.5337401650133,11.626580392173,0,11.626580392173,0,0.752403292958853,0.75206980767721
5000,12,3,-13.1147133,20.3897948398668,33.5045081398668,11.657923897386,0,11.657923897386,0,0.938335760954278,0.937917056622416
5000,12,3,-12.1147133,21.3566451206285,33.4713584206285,11.689268602626,0,11.689268602626,0,1.16916868270529,1.16864297864443
5000,12,3,-11.1147133,22.3744502201158,33.4891635201158,11.728449484176,0,11.728449484176,0,1.47300567616036,1.47234606488876
5000,12,3,-10.1147133,23.3648181095201,33.4795314095201,11.783302718346,0,11.783302718346,0,1.84168256162461,1.84085602588949
5000,12,3,-9.1147133,24.3094573154527,33.4241706154527,11.853827105109,0,11.853827105109,0,2.2755539845309,2.27451962842735
5000,12,3,-8.1147133,25.2776141300279,33.3923274300279,11.924352691899,0,11.924352691899,0,2.82700515311952,2.82571067755397
5000,12,3,-7.1147133,26.2679801120836,33.3826934120836,12.02622658401,0,12.02622658401,0,3.52102111243577,3.5194052689641
5000,12,3,-6.1147133,27.2570424213487,33.3717557213487,12.15160540497,0,12.15160540497,0,4.3759321925783,4.37391895507674
5000,12,3,-5.1147133,28.1846957340318,33.2994090340318,12.33182545983,0,12.33182545983,0,5.33878220407725,5.33628472820796
5000,12,3,-4.1147133,29.1018958225328,33.2166091225328,12.61392780699,0,12.61392780699,0,6.44672643109974,6.44365261182952
5000,12,3,-3.1147133,30.024322999962,33.139036299962,13.0135727988,0,13.0135727988,0,7.72744200086588,7.72369112990076
5000,12,3,-2.1147133,31.0016255512315,33.1163388512315,13.60912219836,0,13.60912219836,0,9.2540627796894,9.2495473554884
5000,12,3,-1.1147133,32.0298829212266,33.1445962212266,14.34571077123,0,14.34571077123,0,11.1241342512945,11.1187415470908
5000,12,3,-0.1147133,32.8569321765977,32.9716454765977,15.14500075485,0,15.14500075485,0,12.7474676452682,12.7410369286693
5000,12,3,0.8852867,33.4292025699693,32.5439158699693,15.88158932772,0,15.88158932772,0,13.8683979561741,13.8606776467243
5000,12,3,1.8852867,33.8512196674425,31.9659329674425,16.55550049038,0,16.55550049038,0,14.6615421169551,14.6522184585108
5000,12,3,2.8852867,34.0563483371812,31.1710616371812,16.99431436347,0,16.99431436347,0,14.9737709682838,14.9623362617702
5000,12,3,3.8852867,34.3006739749986,30.4153872749986,17.53501052886,0,17.53501052886,0,15.3518729121935,15.3379213564387
5000,12,3,4.8852867,34.4679122104722,29.5826255104722,17.95032787329,0,17.95032787329,0,15.5854316690815,15.5682740791323
5000,12,3,5.8852867,34.5593714847642,28.6740847847642,18.20108551521,0,18.20108551521,0,15.6978385580536,15.6765360185244
5000,12,3,6.8852867,34.6286187305528,27.7433320305528,18.35780904141,0,18.35780904141,0,15.8139741684328,15.7873848122338
5000,12,3,7.8852867,34.6652026310045,26.7799159310045,18.45183115686,0,18.45183115686,0,15.8664873990609,15.8331839511773
5000,12,3,8.8852867,34.6900267734605,25.8047400734605,18.50668439103,0,18.50668439103,0,15.9101421057503,15.8683398179135
6000,12,3,-31.2441936,1.53263768023952,32.7768312802395,11.548218629073,0,11.548218629073,0,0.0123239171704016,0.0123174148907663
6000,12,3,-30.2441936,2.70200642413601,32.946200024136,11.55605600541,0,11.55605600541,0,0.016120963863293,0.0161127835299346
